110:  bodyHeight£¨r£©=5,fuzelength=2, headlength=18, bodylength=36, rearlength=4, rearheigth=2
111:  bodyHeight£¨r£©=5,fuzelength=2, headlength=18, bodylength=36, rearlength=4, rearheigth=4
112:  bodyHeight£¨r£©=5,fuzelength=2, headlength=18, bodylength=33, rearlength=7, rearheigth=2
113:  bodyHeight£¨r£©=5,fuzelength=2, headlength=18, bodylength=33, rearlength=7, rearheigth=4
114:  bodyHeight£¨r£©=5,fuzelength=2, headlength=21, bodylength=36, rearlength=1, rearheigth=2
115:  bodyHeight£¨r£©=5,fuzelength=2, headlength=21, bodylength=36, rearlength=1, rearheigth=4
116:  bodyHeight£¨r£©=5,fuzelength=2, headlength=21, bodylength=33, rearlength=4, rearheigth=2
117:  bodyHeight£¨r£©=5,fuzelength=2, headlength=21, bodylength=33, rearlength=4, rearheigth=4
118:  bodyHeight£¨r£©=5,fuzelength=2, headlength=21, bodylength=30, rearlength=7, rearheigth=2
119:  bodyHeight£¨r£©=5,fuzelength=2, headlength=21, bodylength=30, rearlength=7, rearheigth=4
120:  bodyHeight£¨r£©=5,fuzelength=2, headlength=24, bodylength=33, rearlength=1, rearheigth=2
121:  bodyHeight£¨r£©=5,fuzelength=2, headlength=24, bodylength=33, rearlength=1, rearheigth=4
122:  bodyHeight£¨r£©=5,fuzelength=2, headlength=24, bodylength=30, rearlength=4, rearheigth=2
123:  bodyHeight£¨r£©=5,fuzelength=2, headlength=24, bodylength=30, rearlength=4, rearheigth=4
124:  bodyHeight£¨r£©=5,fuzelength=2, headlength=24, bodylength=27, rearlength=7, rearheigth=2
125:  bodyHeight£¨r£©=5,fuzelength=2, headlength=24, bodylength=27, rearlength=7, rearheigth=4
126:  bodyHeight£¨r£©=5,fuzelength=2, headlength=27, bodylength=30, rearlength=1, rearheigth=2
127:  bodyHeight£¨r£©=5,fuzelength=2, headlength=27, bodylength=30, rearlength=1, rearheigth=4
128:  bodyHeight£¨r£©=5,fuzelength=2, headlength=27, bodylength=27, rearlength=4, rearheigth=2
129:  bodyHeight£¨r£©=5,fuzelength=2, headlength=27, bodylength=27, rearlength=4, rearheigth=4
130:  bodyHeight£¨r£©=5,fuzelength=2, headlength=27, bodylength=24, rearlength=7, rearheigth=2
131:  bodyHeight£¨r£©=5,fuzelength=2, headlength=27, bodylength=24, rearlength=7, rearheigth=4
132:  bodyHeight£¨r£©=5,fuzelength=2, headlength=30, bodylength=27, rearlength=1, rearheigth=2
133:  bodyHeight£¨r£©=5,fuzelength=2, headlength=30, bodylength=27, rearlength=1, rearheigth=4
134:  bodyHeight£¨r£©=5,fuzelength=2, headlength=30, bodylength=24, rearlength=4, rearheigth=2
135:  bodyHeight£¨r£©=5,fuzelength=2, headlength=30, bodylength=24, rearlength=4, rearheigth=4
136:  bodyHeight£¨r£©=5,fuzelength=2, headlength=30, bodylength=21, rearlength=7, rearheigth=2
137:  bodyHeight£¨r£©=5,fuzelength=2, headlength=30, bodylength=21, rearlength=7, rearheigth=4
138:  bodyHeight£¨r£©=5,fuzelength=2, headlength=33, bodylength=24, rearlength=1, rearheigth=2
139:  bodyHeight£¨r£©=5,fuzelength=2, headlength=33, bodylength=24, rearlength=1, rearheigth=4
140:  bodyHeight£¨r£©=5,fuzelength=2, headlength=33, bodylength=21, rearlength=4, rearheigth=2
141:  bodyHeight£¨r£©=5,fuzelength=2, headlength=33, bodylength=21, rearlength=4, rearheigth=4
142:  bodyHeight£¨r£©=5,fuzelength=2, headlength=33, bodylength=18, rearlength=7, rearheigth=2
143:  bodyHeight£¨r£©=5,fuzelength=2, headlength=33, bodylength=18, rearlength=7, rearheigth=4
144:  bodyHeight£¨r£©=5,fuzelength=2, headlength=36, bodylength=21, rearlength=1, rearheigth=2
145:  bodyHeight£¨r£©=5,fuzelength=2, headlength=36, bodylength=21, rearlength=1, rearheigth=4
146:  bodyHeight£¨r£©=5,fuzelength=2, headlength=36, bodylength=18, rearlength=4, rearheigth=2
147:  bodyHeight£¨r£©=5,fuzelength=2, headlength=36, bodylength=18, rearlength=4, rearheigth=4
148:  bodyHeight£¨r£©=5,fuzelength=2, headlength=36, bodylength=15, rearlength=7, rearheigth=2
149:  bodyHeight£¨r£©=5,fuzelength=2, headlength=36, bodylength=15, rearlength=7, rearheigth=4
150:  bodyHeight£¨r£©=5,fuzelength=3, headlength=3, bodylength=51, rearlength=3, rearheigth=2
151:  bodyHeight£¨r£©=5,fuzelength=3, headlength=3, bodylength=51, rearlength=3, rearheigth=4
152:  bodyHeight£¨r£©=5,fuzelength=3, headlength=3, bodylength=48, rearlength=6, rearheigth=2
153:  bodyHeight£¨r£©=5,fuzelength=3, headlength=3, bodylength=48, rearlength=6, rearheigth=4
